2025-10-07 08:59:10 | INFO     | TradingBot | 
================================================================================
2025-10-07 08:59:10 | INFO     | TradingBot | 🚀 NIFTY OPTIONS TRADING BOT STARTING...
2025-10-07 08:59:10 | INFO     | TradingBot | ================================================================================
2025-10-07 08:59:10 | INFO     | TradingBot | 📊 Nifty Token: 256265
2025-10-07 08:59:10 | INFO     | TradingBot | 🔗 Subscribing to Nifty spot for real-time data...
2025-10-07 08:59:10 | INFO     | TradingBot | ✅ WebSocket started - receiving Nifty ticks
2025-10-07 08:59:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:00:00 | INFO     | TradingBot | 📊 5-min candle complete for token 256265: {'open': 25077.65, 'high': 25077.65, 'low': 25077.65, 'close': 25077.65, 'timestamp': datetime.datetime(2025, 10, 7, 8, 55), 'token': 256265}
2025-10-07 09:00:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:01:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:02:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:03:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:04:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:05:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:06:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:07:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:08:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:09:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:10:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:11:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:12:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:13:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:14:10 | INFO     | TradingBot | Market is closed. Waiting...
2025-10-07 09:55:37 | INFO     | TradingBot | 
Received signal 2. Shutting down gracefully...
2025-10-07 09:55:37 | INFO     | TradingBot | 
🛑 Shutting down trading bot...
2025-10-07 09:55:42 | INFO     | TradingBot | 
================================================================================
2025-10-07 09:55:42 | INFO     | TradingBot | 🚀 NIFTY OPTIONS TRADING BOT STARTING...
2025-10-07 09:55:42 | INFO     | TradingBot | ================================================================================
2025-10-07 09:55:45 | INFO     | TradingBot | 📊 Nifty Token: 256265
2025-10-07 09:55:45 | INFO     | TradingBot | 🔗 Subscribing to Nifty spot for real-time data...
2025-10-07 09:55:45 | INFO     | TradingBot | ✅ WebSocket started - receiving Nifty ticks
2025-10-07 10:00:00 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:00 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:01 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:01 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:02 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:02 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:03 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:03 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:04 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:04 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:05 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:05 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:06 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:06 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:07 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:07 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:08 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:08 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:09 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:09 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:10 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:10 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:11 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:11 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:12 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:12 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:13 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:13 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:14 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:14 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:15 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:15 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:16 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:16 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:17 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:17 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:18 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:18 | WARNING  | TradingBot | No Nifty candles available for reference window
2025-10-07 10:00:19 | INFO     | TradingBot | ⏰ Calculating reference levels from 09:45-10:00 candles...
2025-10-07 10:00:19 | WARNING  | TradingBot | No Nifty candles available for reference window
